date,positive,totalTestResults,positiveIncrease,totalTestResultsIncrease
20200927,7080459,101298794,35289,806258
20200926,7045170,100492536,47733,1004261
20200925,6997437,99488275,55526,1011675
20200924,6941911,98476600,43772,940353
20200923,6898139,97536247,38567,923704
20200922,6859572,96612543,49439,769953
20200921,6810133,95842590,39472,725311
20200920,6770661,95117279,36295,905323
20200919,6734366,94211956,45539,1066069
20200918,6688827,93145887,47486,985004
20200917,6641341,92160883,43558,841941
20200916,6597783,91318942,40021,729637
20200915,6557762,90589305,35445,724756
20200914,6522317,89864549,33864,445836
20200913,6488453,89418713,34453,728220
20200912,6454000,88690493,42087,903365
20200911,6411913,87787128,44927,826358
20200910,6366986,86960770,37581,690301
20200909,6329405,86270469,30983,626180
20200908,6298422,85644289,22223,540044
20200907,6276199,85104245,28682,615271
20200906,6247517,84488974,33117,782353
20200905,6214400,83706621,44905,876560
20200904,6169495,82830061,51591,949705
20200903,6117904,81880356,44714,798189
20200902,6073190,81082167,30603,683904
20200901,6042587,80398263,42433,732413
20200831,6000154,79665850,31406,705130
20200830,5968748,78960720,39501,774335
20200829,5929247,78186385,44501,815422
20200828,5884746,77370963,46548,818699
20200827,5838198,76552264,43984,791621
20200826,5794214,75760643,44053,680581
20200825,5750161,75080062,36379,664004
20200824,5713782,74416058,34643,713471
20200823,5679139,73702587,37566,645324
20200822,5641573,73057263,46236,794254
20200821,5595337,72263009,46561,785049
20200820,5548776,71477960,43758,726290
20200819,5505018,70751670,44955,703917
20200818,5460063,70047753,40795,673737
20200817,5419268,69374016,37880,685807
20200816,5381388,68688209,42487,808057
20200815,5338901,67880152,56149,779619
20200814,5282752,67100533,55636,885486
20200813,5227116,66215047,51759,925197
20200812,5175357,65289850,56134,487484
20200811,5119223,64802366,55701,756116
20200810,5063522,64046250,42089,753155
20200809,5021433,63293095,50627,726152
20200808,4970806,62566943,53712,688702
20200807,4917094,61878241,61345,803528
20200806,4855749,61074713,54187,785235
20200805,4801562,60289478,52324,712462
20200804,4749238,59577016,51866,731054
20200803,4697372,58845962,49713,765730
20200802,4647659,58080232,46812,703760
20200801,4600847,57376472,61101,751919
20200731,4539746,56624553,67623,928163
20200730,4472123,55696390,69418,829896
20200729,4402705,54866494,64408,850432
20200728,4338297,54016062,59003,781436
20200727,4279294,53234626,55332,779193
20200726,4223962,52455433,61000,851125
20200725,4162962,51604308,64741,793712
20200724,4098221,50810596,75236,942154
20200723,4022985,49868442,71552,854198
20200722,3951433,49014244,69333,811764
20200721,3882100,48202480,63930,769140
20200720,3818170,47433340,57041,719832
20200719,3761129,46713508,64260,780200
20200718,3696869,45933308,64951,772341
20200717,3631918,45160967,76842,843822
20200716,3555076,44317145,71036,838594
20200715,3484040,43478551,65797,786692
20200714,3418243,42691859,62729,777387
20200713,3355514,41914472,58091,709056
20200712,3297423,41205416,61312,768418
20200711,3236111,40436998,62895,714163
20200710,3173216,39722835,66846,824529
20200709,3106370,38898306,59157,720764
20200708,3047213,38177542,62672,660159
20200707,2984541,37517383,51728,649263
20200706,2932813,36868120,41918,530573
20200705,2890895,36337547,45612,688552
20200704,2845283,35648995,54338,636301
20200703,2790945,35012694,53948,708603
20200702,2736997,34304091,54085,675071
20200701,2682912,33629020,50981,651674
20200630,2631931,32977346,47864,646356
20200629,2584067,32330990,39813,669836
20200628,2544254,31661154,41570,581668
20200627,2502684,31079486,43164,602940
20200626,2459520,30476546,44543,618253
20200625,2414977,29858293,39640,646503
20200624,2375337,29211790,39072,541511
20200623,2336265,28670279,33447,511771
20200622,2302818,28158508,27281,474533
20200621,2275537,27683975,27928,533274
20200620,2247609,27150701,32294,554584
20200619,2215315,26596117,31471,589421
20200618,2183844,26006696,27746,537771
20200617,2156098,25468925,24001,506063
20200616,2132097,24962862,23497,478442
20200615,2108600,24484420,18630,444603
20200614,2089970,24039817,21399,479218
20200613,2068571,23560599,25376,508866
20200612,2043195,23051733,23597,599084
20200611,2019598,22452649,22153,471207
20200610,1997445,21981442,20894,435890
20200609,1976551,21545552,17312,440360
20200608,1959239,21105192,17209,414342
20200607,1942030,20690850,18740,422043
20200606,1923290,20268807,23064,545022
20200605,1900226,19723785,23400,515097
20200604,1876826,19208688,20880,482410
20200603,1855946,18726278,20392,476543
20200602,1835554,18249735,20110,434634
20200601,1815444,17815101,20482,413464
20200531,1794962,17401637,21558,401575
20200530,1773404,17000062,23682,433153
20200529,1749722,16566909,23574,500040
20200528,1726148,16066869,22630,443877
20200527,1703518,15622992,19437,323120
20200526,1684081,15299872,16830,313803
20200525,1667251,14986069,18691,428333
20200524,1648560,14557736,20047,379883
20200523,1628513,14177853,21531,379641
20200522,1606982,13798212,24447,418634
20200521,1582535,13379578,26674,475264
20200520,1555861,12904314,21318,417701
20200519,1534543,12486613,20899,408978
20200518,1513644,12077635,21016,373204
20200517,1492628,11704431,20034,371723
20200516,1472594,11332708,24678,364769
20200515,1447916,10967939,24684,377795
20200514,1423232,10590144,26798,372542
20200513,1396434,10217602,21272,321132
20200512,1375162,9896470,22897,324007
20200511,1352265,9572463,18371,391187
20200510,1333894,9181276,21063,261070
20200509,1312831,8920206,25218,294385
20200508,1287613,8625821,27217,316011
20200507,1260396,8309810,27560,293307
20200506,1232836,8016503,25096,266464
20200505,1207740,7750039,22446,283187
20200504,1185294,7466852,22646,241639
20200503,1162648,7225213,25707,227069
20200502,1136941,6998144,29148,256255
20200501,1107793,6741889,33029,293748
20200430,1074764,6448141,29968,248111
20200429,1044796,6200030,26307,241178
20200428,1018489,5958852,25283,213286
20200427,993206,5745566,22698,201691
20200426,970508,5543875,27312,203656
20200425,943196,5340219,35871,278546
20200424,907325,5061673,34234,241087
20200423,873091,4820586,31810,193562
20200422,841281,4627024,28955,335580
20200421,812326,4291444,26361,159250
20200420,785965,4132194,25899,151749
20200419,760066,3980445,27387,153257
20200418,732679,3827188,27906,145391
20200417,704773,3681797,32013,164866
20200416,672760,3516931,30979,166160
20200415,641781,3350771,30309,143883
20200414,611472,3206888,25709,158831
20200413,585763,3048057,25200,138326
20200412,560563,2909731,27763,135961
20200411,532800,2773770,30506,139037
20200410,502294,2634733,34383,158534
20200409,467911,2476199,34495,172174
20200408,433416,2304025,30595,150430
20200407,402821,2153595,30885,156254
20200406,371936,1997341,29002,158038
20200405,342934,1839303,25500,120338
20200404,317434,1718965,33212,228797
20200403,284222,1490168,32076,133020
20200402,252146,1357148,28060,121237
20200401,224086,1235911,25791,109215
20200331,198295,1126696,24853,116183
20200330,173442,1010513,22042,119396
20200329,151400,891117,19581,85907
20200328,131819,805210,19692,105158
20200327,112127,700052,19128,102415
20200326,92999,597637,17720,103818
20200325,75279,493819,12908,82609
20200324,62371,411210,10769,69185
20200323,51602,342025,11439,60629
20200322,40163,281396,9125,47221
20200321,31038,234175,6793,47414
20200320,24245,186761,6147,39905
20200319,18098,146856,4651,30168
20200318,13447,116688,3089,27809
20200317,10358,88879,2588,18441
20200316,7770,70438,1748,20123
20200315,6022,50315,1291,8300
20200314,4731,42015,924,5722
20200313,3807,36293,1072,10334
20200312,2735,25959,671,5793
20200311,2064,20166,509,4028
20200310,1555,16138,387,2676
20200309,1168,13462,292,1894
20200308,876,11568,198,935
20200307,678,10633,178,919
20200306,500,9714,112,873
20200305,388,8841,107,641
20200304,281,8200,139,1119
20200303,142,7081,48,266
20200302,94,6815,44,212
20200301,50,6603,32,95
20200229,18,6508,18,45
20200228,0,6463,0,2
20200227,0,6461,0,6445
20200226,0,16,0,0
20200225,0,16,0,0
20200224,0,16,0,2
20200223,0,14,0,0
20200222,0,14,0,0
20200221,0,14,0,0
20200220,0,14,0,1
20200219,0,13,0,0
20200218,0,13,0,0
20200217,0,13,0,0
20200216,0,13,0,0
20200215,0,13,0,0
20200214,0,13,0,0
20200213,0,13,0,0
20200212,0,13,0,1
20200211,0,12,0,0
20200210,0,12,0,1
20200209,0,11,0,0
20200208,0,11,0,1
20200207,0,10,0,0
20200206,0,10,0,1
20200205,0,9,0,0
20200204,0,9,0,2
20200203,0,7,0,3
20200202,0,4,0,0
20200201,0,4,0,0
20200131,0,4,0,0
20200130,0,4,0,0
20200129,0,4,0,1
20200128,0,3,0,0
20200127,0,3,0,1
20200126,0,2,0,0
20200125,0,2,0,0
20200124,0,2,0,0
20200123,0,2,0,1
20200122,0,1,0,0
