Region,Q1 2018 # of Subscribers, Q1 2018 Average Monthly Revenue per Membership ,Q1 2018 Quarter Revenue,Q2 2018 # of Subscribers, Q2 2018 Average Monthly Revenue per Membership ,Q2 2018 Quarter Revenue,Q3 2018 # of Subscribers,Q3 2018 Average Monthly Revenue per Membership,Q3 2018 Quarter Revenue,Q4 2018 # of Subscribers,Q4 2018 Average Monthly Revenue per Membership,Q4 2018 Quarter Revenue,Q1 2019 # of Subscribers,Q1 2019 Average Monthly Revenue per Membership,Q1 2019 Quarter Revenue,Q2 2019 # of Subscribers,Q2 2019 Average Monthly Revenue per Membership,Q2 2019 Quarter Revenue,Q3 2019 # of Subscribers,Q3 2019 Average Monthly Revenue per Membership,Q3 2019 Quarter Revenue,Q4 2019 # of Subscribers,Q4 2019 Average Monthly Revenue per Membership,Q4 2019 Quarter Revenue,Q1 2020 # of Subscribers,Q1 2020 Average Monthly Revenue per Membership,Q1 2020 Quarter Revenue,Q2 2020 # of Subscribers,Q2 2020 Average Monthly Revenue per Membership,Q2 2020 Quarter Revenue,,,,
United States and Canada,60909000,11.04,1976157000,61870000,11.13,2049546000,63010000,11.18,2094850000,64757000,11.28,2160979000,66633000,11.45,2256851000,66501000,12.52,2501199000,67114000,13.08,2621250000,67662000,13.22,2671908000,69969000,13.09,2702776000,72904000,13.25,2839670000,,,,
"Europe, Middle East, and Africa",29339000,10.68,886649000,31317000,10.72,975497000,33836000,10.28,1004749000,37818000,10.2,1096812000,42542000,10.23,1233379000,44229000,10.13,1319087000,47335000,10.4,1428040000,51778000,10.51,1562561000,58734000,10.4,1723474000,61483000,10.5,1892537000,,,,
Latin America,21260000,8.79,540182000,22795000,8.6,546071000,24115000,7.99,564307000,26077000,7.53,567137000,27547000,7.84,630472000,27890000,8.14,677136000,29380000,8.63,741434000,31417000,8.18,746392000,34318000,8.05,793453000,36068000,7.44,785368000,,,,
Asia-Pacific,7394000,8.55,199117000,8372000,9.36,221252000,9461000,9.3,248691000,10607000,9.19,276756000,12141000,9.37,319602000,12942000,9.29,349494000,14485000,9.29,382304000,16233000,9.07,418121000,19835000,8.94,483660000,22492000,8.96,569140000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
