Demographic,0-1 hour,,2-3 hours,,4-5 hours,,6-7 hours,,8-9 hours,,hours,Total N,
Parents,12%,(104),19%,(169),28%,(254),20%,(178),11%,(96),11%,(97),899
Gender: Male,7%,(28),21%,(87),29%,(123),23%,(97),10%,(41),10%,(44),421
Gender: Female,16%,(75),17%,(82),27%,(131),17%,(80),12%,(56),11%,(53),478
Age: 18-34,14%,(25),22%,(38),29%,(49),19%,(32),9%,(15),7%,(12),171
Age: 35-44,6%,(14),16%,(34),30%,(65),22%,(47),14%,(30),13%,(28),218
Age: 45-64,10%,(38),19%,(74),28%,(106),21%,(81),9%,(35),13%,(51),385
Age: 65+,22%,(28),18%,(23),27%,(34),14%,(17),14%,(17),5%,(6),125
Millennials: 1981-1996,10%,(26),22%,(56),29%,(75),22%,(56),9%,(23),7%,(19),254
GenXers: 1965-1980,7%,(23),16%,(54),27%,(94),22%,(75),13%,(43),16%,(56),344
Baby Boomers: 1946-1964,17%,(43),21%,(54),27%,(69),17%,(44),10%,(26),8%,(22),258
PID: Dem (no lean),11%,(30),18%,(49),27%,(73),19%,(51),14%,(37),10%,(28),266
PID: Ind (no lean),13%,(38),16%,(46),32%,(92),17%,(50),10%,(29),12%,(35),290
PID: Rep (no lean),10%,(35),22%,(75),26%,(90),22%,(77),9%,(31),10%,(35),343
PID/Gender: Dem Men,10%,(11),22%,(26),26%,(30),21%,(24),11%,(13),10%,(11),115
PID/Gender: Dem Women,13%,(19),15%,(23),28%,(42),18%,(27),16%,(24),11%,(16),151
PID/Gender: Ind Men,8%,(9),14%,(18),33%,(40),23%,(28),9%,(11),14%,(17),123
PID/Gender: Ind Women,18%,(29),17%,(28),31%,(51),13%,(22),11%,(18),11%,(18),166
PID/Gender: Rep Men,4%,(8),24%,(44),29%,(53),25%,(45),9%,(17),8%,(15),182
PID/Gender: Rep Women,17%,(27),19%,(31),23%,(37),20%,(31),9%,(14),12%,(19),160
Ideo: Liberal (1-3),8%,(16),19%,(36),25%,(49),23%,(46),14%,(27),11%,(20),194
Ideo: Moderate (4),13%,(34),18%,(46),28%,(72),19%,(49),10%,(27),13%,(33),262
Ideo: Conservative (5-7),13%,(42),18%,(59),31%,(104),19%,(62),10%,(33),10%,(32),332
Educ: ,13%,(78),20%,(119),25%,(148),21%,(124),10%,(60),11%,(63),592
Educ: Bachelors degree,10%,(18),15%,(29),37%,(70),15%,(29),12%,(23),11%,(20),189
Educ: Post-grad,7%,(8),18%,(21),31%,(36),21%,(25),12%,(14),12%,(14),118
Income: Under 50k,17%,(69),20%,(81),24%,(98),18%,(75),11%,(43),10%,(43),409
Income: 50k-100k,9%,(26),18%,(53),31%,(92),23%,(67),11%,(33),9%,(25),297
Income: 100k+,5%,(9),18%,(35),33%,(64),18%,(35),11%,(21),15%,(29),194
Ethnicity: White,12%,(89),20%,(144),30%,(216),18%,(134),9%,(69),10%,(74),726
Ethnicity: Hispanic,8%,(12),13%,(19),36%,(53),16%,(24),15%,(22),13%,(19),148
Ethnicity: Black,9%,(9),15%,(16),20%,(21),28%,(30),14%,(15),13%,(14),104
Ethnicity: Other,8%,(5),14%,(10),24%,(17),21%,(15),19%,(13),13%,(9),68
All Christian,12%,(55),18%,(83),30%,(137),18%,(83),11%,(50),11%,(50),458
Agnostic/Nothing in particular,10%,(20),22%,(41),23%,(44),22%,(42),12%,(24),10%,(20),191
Something Else,13%,(23),17%,(29),26%,(44),23%,(38),9%,(16),12%,(21),170
Religious Non-Protestant/Catholic,8%,(5),22%,(13),30%,(19),21%,(13),9%,(6),10%,(6),61
Evangelical,13%,(35),17%,(48),30%,(85),20%,(57),10%,(28),10%,(28),280
Non-Evangelical,12%,(40),18%,(58),29%,(95),18%,(58),11%,(36),12%,(39),327
Community: Urban,8%,(19),18%,(42),27%,(63),25%,(58),9%,(21),13%,(30),233
Community: Suburban,10%,(39),16%,(65),30%,(124),20%,(83),12%,(49),11%,(46),406
Community: Rural,18%,(46),24%,(62),26%,(68),14%,(36),10%,(26),8%,(22),259
Employ: Private Sector,8%,(27),19%,(63),30%,(104),22%,(74),10%,(34),12%,(39),341
Employ: Government,10%,(7),23%,(15),35%,(23),12%,(8),8%,(5),11%,(7),64
Employ: Self-Employed,7%,(5),23%,(18),28%,(22),24%,(19),9%,(7),9%,(7),78
Employ: Homemaker,17%,(18),17%,(17),27%,(28),16%,(16),13%,(13),10%,(10),102
Employ: Retired,20%,(30),20%,(30),26%,(39),15%,(23),10%,(15),10%,(15),152
Employ: Unemployed,8%,(6),19%,(15),18%,(15),20%,(17),18%,(15),17%,(14),83
Employ: Other,9%,(6),14%,(9),36%,(24),23%,(15),12%,(8),5%,(3),65
Military HH: Yes,8%,(12),19%,(27),26%,(36),22%,(31),11%,(16),13%,(19),141
Military HH: No,12%,(92),19%,(142),29%,(218),19%,(146),11%,(81),10%,(79),758
RD/WT: Right Direction,8%,(24),21%,(64),29%,(87),22%,(66),8%,(23),12%,(36),300
RD/WT: Wrong Track,13%,(80),18%,(106),28%,(167),19%,(112),12%,(74),10%,(61),599
Trump Job Approve,11%,(48),21%,(94),28%,(122),20%,(90),9%,(41),10%,(44),440
Trump Job Disapprove,12%,(48),17%,(71),28%,(116),20%,(82),12%,(52),11%,(47),417
Trump Job Strongly Approve,11%,(28),22%,(58),26%,(68),22%,(58),10%,(25),10%,(27),264
Trump Job Somewhat Approve,11%,(19),21%,(36),31%,(55),18%,(32),9%,(16),10%,(17),176
Trump Job Somewhat Disapprove,11%,(12),10%,(12),28%,(32),25%,(28),9%,(10),18%,(20),115
Trump Job Strongly Disapprove,12%,(36),20%,(60),28%,(84),18%,(54),14%,(42),9%,(27),302
Favorable of Trump,11%,(50),21%,(92),29%,(125),19%,(84),10%,(43),10%,(42),435
Unfavorable of Trump,11%,(47),17%,(72),28%,(117),21%,(86),13%,(53),10%,(44),420
Very Favorable of Trump,11%,(31),21%,(57),26%,(69),21%,(56),10%,(26),11%,(30),270
Somewhat Favorable of Trump,11%,(19),21%,(34),33%,(55),17%,(29),10%,(17),7%,(12),166
Somewhat Unfavorable of Trump,12%,(11),18%,(17),20%,(19),24%,(22),7%,(6),19%,(18),94
