Demographic,0-1 hour,,2-3 hours,,4-5 hours,,6-7 hours,,8-9 hours,,hours,Total N,
Parents,16%,(141),44%,(392),23%,(210),7%,(65),4%,(33),6%,(58),899
Gender: Male,12%,(51),46%,(194),25%,(106),7%,(29),3%,(14),6%,(27),421
Gender: Female,19%,(89),41%,(198),22%,(104),7%,(36),4%,(19),7%,(31),478
Age: 18-34,24%,(41),39%,(68),21%,(36),11%,(18),2%,(4),3%,(4),171
Age: 35-44,14%,(30),45%,(97),23%,(51),6%,(14),6%,(12),6%,(14),218
Age: 45-64,11%,(43),46%,(177),25%,(95),7%,(26),3%,(10),9%,(34),385
Age: 65+,22%,(27),40%,(49),22%,(28),6%,(7),6%,(7),5%,(6),125
Millennials: 1981-1996,21%,(52),43%,(110),22%,(56),10%,(24),2%,(6),2%,(6),254
GenXers: 1965-1980,11%,(38),46%,(157),22%,(75),7%,(26),4%,(15),10%,(34),344
Baby Boomers: 1946-1964,15%,(39),43%,(112),25%,(64),5%,(14),5%,(13),6%,(16),258
PID: Dem (no lean),14%,(37),42%,(113),25%,(68),8%,(20),5%,(13),6%,(16),266
PID: Ind (no lean),17%,(50),48%,(138),16%,(47),6%,(18),4%,(11),9%,(26),290
PID: Rep (no lean),16%,(54),41%,(141),28%,(95),8%,(27),3%,(10),4%,(15),343
PID/Gender: Dem Men,16%,(18),44%,(50),19%,(22),8%,(9),7%,(8),7%,(8),115
PID/Gender: Dem Women,12%,(19),41%,(62),30%,(46),8%,(11),3%,(4),6%,(9),151
PID/Gender: Ind Men,12%,(14),52%,(65),17%,(21),6%,(8),2%,(2),11%,(13),123
PID/Gender: Ind Women,21%,(35),44%,(73),15%,(25),6%,(10),5%,(9),8%,(13),166
PID/Gender: Rep Men,10%,(18),43%,(79),34%,(62),7%,(13),2%,(4),3%,(6),182
PID/Gender: Rep Women,22%,(36),39%,(62),21%,(33),9%,(14),4%,(6),6%,(10),160
Ideo: Liberal (1-3),12%,(24),46%,(88),22%,(42),9%,(17),4%,(9),7%,(14),194
Ideo: Moderate (4),14%,(36),45%,(118),23%,(61),5%,(13),5%,(12),8%,(22),262
Ideo: Conservative (5-7),17%,(57),41%,(136),26%,(85),8%,(27),4%,(13),4%,(15),332
Educ: ,16%,(94),44%,(260),23%,(135),7%,(43),4%,(22),7%,(39),592
Educ: Bachelors degree,15%,(28),43%,(81),26%,(49),7%,(14),2%,(5),6%,(12),189
Educ: Post-grad,16%,(19),43%,(51),22%,(26),7%,(9),5%,(6),6%,(7),118
Income: Under 50k,18%,(72),43%,(176),20%,(81),8%,(32),5%,(19),7%,(28),409
Income: 50k-100k,14%,(43),45%,(134),26%,(78),6%,(17),4%,(12),5%,(13),297
Income: 100k+,13%,(26),42%,(82),27%,(51),8%,(16),1%,(2),8%,(16),194
Ethnicity: White,17%,(121),45%,(325),23%,(165),7%,(49),3%,(21),6%,(45),726
Ethnicity: Hispanic,14%,(21),40%,(59),24%,(35),7%,(10),5%,(8),11%,(16),148
Ethnicity: Black,10%,(11),39%,(40),26%,(27),8%,(8),7%,(8),10%,(10),104
Ethnicity: Other,13%,(9),40%,(27),25%,(17),12%,(8),6%,(4),4%,(3),68
All Christian,15%,(70),43%,(197),25%,(114),6%,(27),5%,(21),6%,(30),458
Agnostic/Nothing in particular,16%,(31),45%,(87),21%,(41),9%,(18),3%,(6),5%,(9),191
Something Else,16%,(27),48%,(82),17%,(28),6%,(10),3%,(6),10%,(16),170
Religious Non-Protestant/Catholic,17%,(10),34%,(21),24%,(15),19%,(11),4%,(2),3%,(2),61
Evangelical,15%,(41),46%,(130),21%,(59),4%,(12),7%,(18),7%,(20),280
Non-Evangelical,16%,(54),43%,(140),24%,(77),7%,(24),2%,(7),8%,(25),327
Community: Urban,15%,(35),42%,(99),23%,(54),12%,(27),2%,(6),5%,(12),233
Community: Suburban,15%,(60),44%,(177),25%,(102),6%,(25),4%,(15),7%,(27),406
Community: Rural,18%,(46),45%,(116),21%,(54),5%,(13),5%,(13),7%,(18),259
Employ: Private Sector,13%,(44),45%,(155),25%,(84),7%,(25),4%,(13),6%,(21),341
Employ: Government,20%,(13),47%,(30),18%,(11),8%,(5),2%,(2),5%,(3),64
Employ: Self-Employed,12%,(9),45%,(35),30%,(23),8%,(6),2%,(2),3%,(3),78
Employ: Homemaker,23%,(23),47%,(48),16%,(17),8%,(9),2%,(2),4%,(4),102
Employ: Retired,18%,(28),39%,(59),22%,(34),6%,(9),5%,(7),10%,(15),152
Employ: Unemployed,13%,(11),39%,(33),20%,(16),12%,(10),7%,(6),9%,(7),83
Employ: Other,12%,(8),41%,(27),36%,(23),1%,(1),4%,(3),6%,(4),65
Military HH: Yes,16%,(23),43%,(60),24%,(34),6%,(9),2%,(3),9%,(12),141
Military HH: No,16%,(118),44%,(331),23%,(176),7%,(57),4%,(30),6%,(46),758
RD/WT: Right Direction,13%,(39),40%,(120),26%,(79),8%,(25),3%,(10),9%,(26),300
RD/WT: Wrong Track,17%,(102),45%,(271),22%,(131),7%,(40),4%,(23),5%,(32),599
Trump Job Approve,14%,(62),45%,(199),24%,(107),8%,(33),3%,(13),5%,(24),440
Trump Job Disapprove,17%,(69),42%,(175),23%,(97),6%,(25),5%,(20),7%,(31),417
Trump Job Strongly Approve,12%,(33),46%,(120),25%,(66),8%,(20),3%,(7),7%,(17),264
Trump Job Somewhat Approve,17%,(30),45%,(79),23%,(41),7%,(13),3%,(6),4%,(7),176
Trump Job Somewhat Disapprove,14%,(16),31%,(35),29%,(34),11%,(13),4%,(5),11%,(13),115
Trump Job Strongly Disapprove,18%,(53),46%,(140),21%,(63),4%,(12),5%,(15),6%,(18),302
Favorable of Trump,15%,(66),44%,(193),24%,(106),8%,(34),3%,(12),5%,(23),435
Unfavorable of Trump,16%,(66),43%,(181),23%,(97),6%,(27),5%,(20),7%,(29),420
Very Favorable of Trump,14%,(37),44%,(119),25%,(66),9%,(23),2%,(6),7%,(19),270
Somewhat Favorable of Trump,18%,(30),45%,(74),24%,(40),6%,(11),4%,(7),3%,(5),166
Somewhat Unfavorable of Trump,11%,(11),37%,(35),28%,(26),10%,(9),3%,(3),11%,(10),94
Very Unfavorable of Trump,17%,(55),45%,(145),22%,(71),6%,(18),5%,(17),6%,(19),325
#1 Issue: Economy,16%,(55),43%,(149),24%,(85),8%,(27),4%,(13),6%,(21),349
#1 Issue: Security,14%,(17),52%,(64),20%,(25),2%,(3),4%,(5),8%,(10),124
#1 Issue: Health Care,13%,(20),43%,(68),19%,(30),9%,(14),6%,(10),11%,(17),160
#1 Issue: Medicare / Social Security,15%,(14),45%,(42),29%,(27),5%,(4),1%,(1),5%,(4),92
#1 Issue: Education,24%,(17),36%,(26),21%,(15),12%,(9),4%,(3),3%,(2),72
#1 Issue: Other,20%,(11),42%,(24),22%,(12),8%,(5),3%,(2),5%,(3),56
2018 House Vote: Democrat,14%,(38),43%,(117),24%,(66),7%,(19),5%,(13),7%,(19),273
2018 House Vote: Republican,14%,(44),43%,(133),26%,(80),8%,(24),4%,(12),5%,(17),310
2016 Vote: Hillary Clinton,15%,(36),43%,(107),23%,(57),8%,(19),5%,(12),7%,(17),249
2016 Vote: Donald Trump,15%,(50),44%,(147),26%,(87),8%,(28),3%,(10),4%,(15),338
2016 Vote: Other,14%,(9),43%,(27),22%,(13),6%,(3),9%,(5),7%,(4),62
2016 Vote: Didn’t Vote,18%,(45),44%,(109),21%,(52),6%,(14),2%,(6),9%,(21),247
Voted in 2014: Yes,15%,(82),43%,(243),25%,(139),7%,(38),4%,(22),7%,(38),562
Voted in 2014: No,17%,(59),44%,(149),21%,(71),8%,(27),3%,(12),6%,(20),337
2012 Vote: Barack Obama,14%,(47),46%,(152),24%,(80),6%,(21),4%,(14),6%,(18),332
2012 Vote: Mitt Romney,15%,(36),44%,(107),25%,(60),5%,(12),4%,(9),7%,(18),241
2012 Vote: Didn’t Vote,17%,(48),43%,(118),20%,(56),10%,(27),3%,(7),7%,(21),278
4-Region: Northeast,13%,(24),48%,(85),26%,(47),5%,(9),4%,(7),3%,(6),178
4-Region: Midwest,18%,(33),44%,(82),20%,(37),8%,(15),3%,(6),6%,(12),184
4-Region: South,15%,(51),44%,(152),23%,(78),6%,(21),4%,(15),7%,(25),341
4-Region: West,17%,(32),37%,(73),25%,(48),10%,(20),3%,(6),8%,(16),195
Parent of a kid Younger than 5 years old,28%,(50),42%,(76),17%,(30),7%,(13),2%,(3),4%,(7),179
Parent of a kid 5 to 12 years old,19%,(53),46%,(133),21%,(59),10%,(27),2%,(5),3%,(8),287
Parent of a kid 13 to 17 years old,9%,(21),44%,(110),30%,(74),6%,(15),5%,(13),7%,(17),250
Parent of a kid 18 or older,15%,(58),43%,(162),23%,(88),6%,(24),4%,(16),8%,(32),380
Parent of a kid under 18,16%,(86),45%,(247),24%,(130),8%,(42),3%,(19),5%,(26),551
Kids have access to any device,16%,(141),44%,(392),23%,(210),7%,(65),4%,(33),6%,(58),899
Kids have access to their own device,12%,(94),43%,(329),25%,(191),8%,(61),4%,(33),7%,(57),765
Kids spending more time with screens,16%,(76),55%,(263),23%,(109),5%,(22),1%,(5),—,(0),476
Note: Row proportions may total to larger than one-hundred percent due to rounding. For more information visit MorningConsultIntelligence.com.,,,,,,,,,,,,,
Table EDU5,,,,,,,,,,,,,
"Table EDU5: And about how many hours do they typically spend using their devices now, including for education or schoolwork?",,,,,,,,,,,,,
,,,,,,,,,,,More than 9,,
Demographic,0-1 hour,,2-3 hours,,4-5 hours,,6-7 hours,,8-9 hours,,hours,Total N,
Parents,12%,(104),19%,(169),28%,(254),20%,(178),11%,(96),11%,(97),899
Gender: Male,7%,(28),21%,(87),29%,(123),23%,(97),10%,(41),10%,(44),421
Gender: Female,16%,(75),17%,(82),27%,(131),17%,(80),12%,(56),11%,(53),478
Age: 18-34,14%,(25),22%,(38),29%,(49),19%,(32),9%,(15),7%,(12),171
Age: 35-44,6%,(14),16%,(34),30%,(65),22%,(47),14%,(30),13%,(28),218
Age: 45-64,10%,(38),19%,(74),28%,(106),21%,(81),9%,(35),13%,(51),385
Age: 65+,22%,(28),18%,(23),27%,(34),14%,(17),14%,(17),5%,(6),125
Millennials: 1981-1996,10%,(26),22%,(56),29%,(75),22%,(56),9%,(23),7%,(19),254
GenXers: 1965-1980,7%,(23),16%,(54),27%,(94),22%,(75),13%,(43),16%,(56),344
Baby Boomers: 1946-1964,17%,(43),21%,(54),27%,(69),17%,(44),10%,(26),8%,(22),258
PID: Dem (no lean),11%,(30),18%,(49),27%,(73),19%,(51),14%,(37),10%,(28),266
PID: Ind (no lean),13%,(38),16%,(46),32%,(92),17%,(50),10%,(29),12%,(35),290
PID: Rep (no lean),10%,(35),22%,(75),26%,(90),22%,(77),9%,(31),10%,(35),343
PID/Gender: Dem Men,10%,(11),22%,(26),26%,(30),21%,(24),11%,(13),10%,(11),115
PID/Gender: Dem Women,13%,(19),15%,(23),28%,(42),18%,(27),16%,(24),11%,(16),151
PID/Gender: Ind Men,8%,(9),14%,(18),33%,(40),23%,(28),9%,(11),14%,(17),123
PID/Gender: Ind Women,18%,(29),17%,(28),31%,(51),13%,(22),11%,(18),11%,(18),166
PID/Gender: Rep Men,4%,(8),24%,(44),29%,(53),25%,(45),9%,(17),8%,(15),182
PID/Gender: Rep Women,17%,(27),19%,(31),23%,(37),20%,(31),9%,(14),12%,(19),160
Ideo: Liberal (1-3),8%,(16),19%,(36),25%,(49),23%,(46),14%,(27),11%,(20),194
Ideo: Moderate (4),13%,(34),18%,(46),28%,(72),19%,(49),10%,(27),13%,(33),262
Ideo: Conservative (5-7),13%,(42),18%,(59),31%,(104),19%,(62),10%,(33),10%,(32),332
Educ: ,13%,(78),20%,(119),25%,(148),21%,(124),10%,(60),11%,(63),592
Educ: Bachelors degree,10%,(18),15%,(29),37%,(70),15%,(29),12%,(23),11%,(20),189
Educ: Post-grad,7%,(8),18%,(21),31%,(36),21%,(25),12%,(14),12%,(14),118
Income: Under 50k,17%,(69),20%,(81),24%,(98),18%,(75),11%,(43),10%,(43),409
Income: 50k-100k,9%,(26),18%,(53),31%,(92),23%,(67),11%,(33),9%,(25),297
Income: 100k+,5%,(9),18%,(35),33%,(64),18%,(35),11%,(21),15%,(29),194
Ethnicity: White,12%,(89),20%,(144),30%,(216),18%,(134),9%,(69),10%,(74),726
Ethnicity: Hispanic,8%,(12),13%,(19),36%,(53),16%,(24),15%,(22),13%,(19),148
Ethnicity: Black,9%,(9),15%,(16),20%,(21),28%,(30),14%,(15),13%,(14),104
Ethnicity: Other,8%,(5),14%,(10),24%,(17),21%,(15),19%,(13),13%,(9),68
All Christian,12%,(55),18%,(83),30%,(137),18%,(83),11%,(50),11%,(50),458
Agnostic/Nothing in particular,10%,(20),22%,(41),23%,(44),22%,(42),12%,(24),10%,(20),191
Something Else,13%,(23),17%,(29),26%,(44),23%,(38),9%,(16),12%,(21),170
Religious Non-Protestant/Catholic,8%,(5),22%,(13),30%,(19),21%,(13),9%,(6),10%,(6),61
Evangelical,13%,(35),17%,(48),30%,(85),20%,(57),10%,(28),10%,(28),280
Non-Evangelical,12%,(40),18%,(58),29%,(95),18%,(58),11%,(36),12%,(39),327
Community: Urban,8%,(19),18%,(42),27%,(63),25%,(58),9%,(21),13%,(30),233
Community: Suburban,10%,(39),16%,(65),30%,(124),20%,(83),12%,(49),11%,(46),406
Community: Rural,18%,(46),24%,(62),26%,(68),14%,(36),10%,(26),8%,(22),259
Employ: Private Sector,8%,(27),19%,(63),30%,(104),22%,(74),10%,(34),12%,(39),341
Employ: Government,10%,(7),23%,(15),35%,(23),12%,(8),8%,(5),11%,(7),64
Employ: Self-Employed,7%,(5),23%,(18),28%,(22),24%,(19),9%,(7),9%,(7),78
Employ: Homemaker,17%,(18),17%,(17),27%,(28),16%,(16),13%,(13),10%,(10),102
Employ: Retired,20%,(30),20%,(30),26%,(39),15%,(23),10%,(15),10%,(15),152
Employ: Unemployed,8%,(6),19%,(15),18%,(15),20%,(17),18%,(15),17%,(14),83
Employ: Other,9%,(6),14%,(9),36%,(24),23%,(15),12%,(8),5%,(3),65
Military HH: Yes,8%,(12),19%,(27),26%,(36),22%,(31),11%,(16),13%,(19),141
Military HH: No,12%,(92),19%,(142),29%,(218),19%,(146),11%,(81),10%,(79),758
RD/WT: Right Direction,8%,(24),21%,(64),29%,(87),22%,(66),8%,(23),12%,(36),300
RD/WT: Wrong Track,13%,(80),18%,(106),28%,(167),19%,(112),12%,(74),10%,(61),599
Trump Job Approve,11%,(48),21%,(94),28%,(122),20%,(90),9%,(41),10%,(44),440
Trump Job Disapprove,12%,(48),17%,(71),28%,(116),20%,(82),12%,(52),11%,(47),417
Trump Job Strongly Approve,11%,(28),22%,(58),26%,(68),22%,(58),10%,(25),10%,(27),264
Trump Job Somewhat Approve,11%,(19),21%,(36),31%,(55),18%,(32),9%,(16),10%,(17),176
Trump Job Somewhat Disapprove,11%,(12),10%,(12),28%,(32),25%,(28),9%,(10),18%,(20),115
Trump Job Strongly Disapprove,12%,(36),20%,(60),28%,(84),18%,(54),14%,(42),9%,(27),302
Favorable of Trump,11%,(50),21%,(92),29%,(125),19%,(84),10%,(43),10%,(42),435
Unfavorable of Trump,11%,(47),17%,(72),28%,(117),21%,(86),13%,(53),10%,(44),420
Very Favorable of Trump,11%,(31),21%,(57),26%,(69),21%,(56),10%,(26),11%,(30),270
Somewhat Favorable of Trump,11%,(19),21%,(34),33%,(55),17%,(29),10%,(17),7%,(12),166
Somewhat Unfavorable of Trump,12%,(11),18%,(17),20%,(19),24%,(22),7%,(6),19%,(18),94
Very Unfavorable of Trump,11%,(36),17%,(55),30%,(98),20%,(64),14%,(47),8%,(26),325
#1 Issue: Economy,11%,(39),20%,(69),28%,(99),20%,(68),9%,(30),13%,(44),349
#1 Issue: Security,10%,(13),28%,(34),23%,(29),20%,(24),9%,(12),9%,(12),124
#1 Issue: Health Care,13%,(20),13%,(21),25%,(40),15%,(24),17%,(27),17%,(27),160
#1 Issue: Medicare / Social Security,19%,(17),17%,(16),27%,(25),29%,(27),5%,(5),4%,(3),92
#1 Issue: Education,10%,(7),18%,(13),35%,(25),17%,(12),11%,(8),9%,(6),72
#1 Issue: Other,13%,(7),14%,(8),28%,(16),23%,(13),15%,(8),7%,(4),56
2018 House Vote: Democrat,11%,(30),16%,(45),31%,(85),19%,(53),12%,(33),10%,(28),273
2018 House Vote: Republican,12%,(38),22%,(68),25%,(79),19%,(60),11%,(33),11%,(33),310
2016 Vote: Hillary Clinton,12%,(30),17%,(43),29%,(72),19%,(48),12%,(31),10%,(25),249
2016 Vote: Donald Trump,12%,(41),22%,(75),27%,(91),20%,(67),10%,(33),9%,(32),338
